X,Rodada,Scouts,status,status_id,media,pontos,apelido,preco,partida_data,jogos,variacao,id,clube,posicao
1,2,FS=3;PE=1;G=2;RB=1;FC=2;FD=1,Provável,7,18.9,18.9,Diego Souza,32.35,17/05/2015,1,10.35,68911,sport,Meia
2,2,FS=3;PE=1;A=2;RB=2;FC=1,Provável,7,14.1,14.1,Luan,30.93,16/05/2015,1,5.93,86759,grêmio,Atacante
3,2,,Nulo,6,0,0,Paolo Guerrero,30,16/05/2015,0,0,75295,corinthians,Atacante
4,2,PE=5;G=1;RB=1,Provável,7,8.2,8.2,Robinho,29.42,17/05/2015,1,0.42,38246,santos,Atacante
5,2,,Nulo,6,0,0,D'Alessandro,27,17/05/2015,0,0,62023,internacional,Meia
6,2,PE=1;FF=2;FD=2,Provável,7,3.1,3.1,Fred,26.18,17/05/2015,1,-3.82,38162,fluminense,Atacante
7,2,,Nulo,6,0,0,Leandro Damião,26,17/05/2015,0,0,68953,cruzeiro,Atacante
8,2,,Nulo,6,0,0,Lucas Pratto,26,17/05/2015,0,0,73649,atlético-mg,Atacante
9,2,FS=2;PE=2;A=1;RB=2;FC=2,Provável,7,7.8,7.8,Zé Roberto,25.94,17/05/2015,1,0.94,36612,palmeiras,Lateral
10,2,,Nulo,6,0,0,Luan,25,17/05/2015,0,0,63219,atlético-mg,Atacante
11,2,FS=2;PE=5;G=1;I=3;RB=1;FC=1;FD=1,Provável,7,8.2,8.2,Everton,24.68,17/05/2015,1,1.68,50301,flamengo,Meia
12,2,PE=1;DD=2;GS=1,Provável,7,3.7,3.7,Rogério Ceni,24.28,17/05/2015,1,-2.72,38055,são paulo,Goleiro
13,2,PE=2;DD=3;GS=3,Provável,7,2.4,2.4,Marcelo Grohe,24.05,16/05/2015,1,-3.95,37770,grêmio,Goleiro
14,2,,Nulo,6,0,0,Gil,24,16/05/2015,0,0,68923,corinthians,Zagueiro
15,2,,Nulo,6,0,0,Arrascaeta,23,17/05/2015,0,0,87863,cruzeiro,Meia
16,2,FS=1;PE=3;G=1;I=1;RB=1;FC=3;FF=1;FD=2,Provável,7,10,10,Walter,22.94,16/05/2015,1,3.94,62128,atlético-pr,Atacante
17,2,FS=3;PE=4;FT=1;RB=5;FC=2;FF=1,Provável,7,12,12,Edson,22.94,17/05/2015,1,5.94,80370,fluminense,Meia
18,2,FS=2;PE=2;G=1;FC=1;FD=1,Provável,7,8.9,8.9,Rafhael Lucas,22.86,16/05/2015,1,2.86,82456,coritiba,Atacante
19,2,SG=1;FS=1;DD=2,Provável,7,11.5,11.5,Weverton,21.75,16/05/2015,1,5.75,71631,atlético-pr,Goleiro
20,2,PE=7;G=1;RB=2;FC=1;CA=1;FF=1;FD=3,Provável,7,10.5,10.5,Renato Cajá,21.75,17/05/2015,1,4.75,51319,ponte preta,Meia
1,2,PE=3;I=3;FC=1;FF=3;FD=1,Provável,7,0.2,0.2,Ricardo Oliveira,21.51,17/05/2015,1,-5.49,38910,santos,Atacante
2,2,FS=1;PE=2;G=1;FC=3;FF=1;FD=1,Provável,7,8.1,8.1,Luis Fabiano,21.44,17/05/2015,1,2.44,37919,são paulo,Atacante
3,2,PE=3;DD=1;GS=2,Provável,7,-1.9,-1.9,Victor,20.64,17/05/2015,1,-7.36,52950,atlético-mg,Goleiro
4,2,SG=1;A=1;RB=1,Nulo,6,11.7,11.7,Marlon,20.33,17/05/2015,1,6.33,80538,fluminense,Zagueiro
5,2,FS=1;PE=6;FT=1;G=1;RB=1;FF=1,Provável,7,12.6,12.6,Marquinhos,20.25,17/05/2015,1,7.25,38150,avaí,Meia
6,2,SG=1;FS=1;PE=4;RB=2;FC=2,Provável,7,6.7,6.7,Rodrigo,19.54,17/05/2015,1,1.54,37644,vasco,Zagueiro
7,2,PE=2;RB=3;FC=2,Provável,7,3.5,3.5,Guiñazu,19.38,17/05/2015,1,-1.62,50533,vasco,Meia
8,2,FS=4;PE=3;I=1;RB=2;FC=2;FF=2;FD=1,Provável,7,5.4,5.4,Willian,19.3,17/05/2015,1,0.3,42116,cruzeiro,Atacante
9,2,RB=1;FC=1;FD=3,Provável,7,4.2,4.2,Jean,19.14,17/05/2015,1,-0.86,62047,fluminense,Meia
10,2,FS=1;PE=4;A=1;RB=2;FC=3;CA=1,Provável,7,4.2,4.2,Ganso,19.14,17/05/2015,1,-0.86,62977,são paulo,Meia
11,2,,Nulo,6,0,0,Aránguiz,19,17/05/2015,0,0,69325,internacional,Meia
12,2,,Nulo,6,0,0,Borges,19,17/05/2015,0,0,37941,ponte preta,Atacante
13,2,FS=3;PE=1;RB=2;FF=2,Provável,7,6,6,Souza,18.98,17/05/2015,1,0.98,60803,são paulo,Meia
14,2,FS=4;PE=3;G=1;RB=1;FC=2;CA=1,Provável,7,7.8,7.8,Rildo,18.83,17/05/2015,1,2.83,73635,ponte preta,Atacante
15,2,FS=1;PE=3;I=1;FF=1,Provável,7,-0.2,-0.2,Dudu,18.03,17/05/2015,1,-4.97,68920,palmeiras,Atacante
16,2,FS=1;PE=4;G=1;FC=1;FD=1,Provável,7,7.8,7.8,Rafael Marques,18.03,17/05/2015,1,3.03,38957,palmeiras,Atacante
17,2,,Nulo,6,0,0,Dátolo,18,17/05/2015,0,0,69240,atlético-mg,Meia
18,2,,Contundido,5,0,0,Cleiton Xavier,18,17/05/2015,0,0,38530,palmeiras,Meia
19,2,,Nulo,6,0,0,Jadson,18,16/05/2015,0,0,38315,corinthians,Meia
20,2,FS=1;PE=3;RB=5;FC=3;CA=1,Provável,7,4.6,4.6,Willians,17.88,17/05/2015,1,-0.12,54424,cruzeiro,Meia
1,2,FS=1;PE=3,Nulo,6,-0.4,-0.4,Alex,17.09,17/05/2015,1,-4.91,38219,internacional,Meia
2,2,,Contundido,5,0,0,Nilmar,17,17/05/2015,0,0,37653,internacional,Atacante
3,2,,Nulo,6,0,0,Guilherme,17,17/05/2015,0,0,50294,atlético-mg,Meia
4,2,FS=5;PE=9;G=2;I=1;RB=2;FC=2;CA=1;FF=1,Nulo,6,16.4,16.4,Yuri Mamute,16.93,16/05/2015,1,11.93,78012,grêmio,Atacante
5,2,SG=1;PE=2;DD=1,Provável,7,7.4,7.4,Martín Silva,16.93,17/05/2015,1,2.93,69249,vasco,Goleiro
6,2,SG=1;PE=3,Provável,7,4.1,4.1,Cássio,16.69,16/05/2015,1,-0.31,42234,corinthians,Goleiro
7,2,SG=1;FS=2;PE=3;RB=2;FC=3;CA=1,Provável,7,5,5,Luan,16.61,17/05/2015,1,0.61,80692,vasco,Zagueiro
8,2,PE=4;RB=2;FC=2;FF=1;FD=1,Provável,7,2.9,2.9,Geuvânio,16.53,17/05/2015,1,-1.47,73896,santos,Atacante
9,2,SG=1;PE=1;RB=1;FC=1,Provável,7,5.9,5.9,Gum,16.53,17/05/2015,1,1.53,68887,fluminense,Zagueiro
